#Date;Value 18:50 MSK
2025-02-07;97.2762
2025-02-06;96.9104
2025-02-05;98.0556
2025-02-04;98.5336
2025-02-03;99.9433
2025-01-31;97.8107
2025-01-30;98.0062
2025-01-29;98.0126
2025-01-28;97.9658
2025-01-27;97.132
2025-01-24;98.2636
2025-01-23;99.0978
2025-01-22;98.2804
2025-01-21;99.9282
2025-01-20;101.9579
2025-01-17;102.4137
2025-01-16;102.3762
2025-01-15;102.8078
2025-01-14;103.438
2025-01-13;102.7081
2025-01-10;101.9146
2025-01-09;102.2911
2025-01-08;101.6797
2025-01-06;101.6797
2025-01-03;101.6797
2024-12-30;101.6797
2024-12-28;101.6797
2024-12-27;100.5281
2024-12-26;99.2295
2024-12-25;99.6125
2024-12-24;99.8729
2024-12-23;101.6143
2024-12-20;102.3438
2024-12-19;103.4207
2024-12-18;102.7763
2024-12-17;102.9979
2024-12-16;102.9125
2024-12-13;103.4305
2024-12-12;103.95
2024-12-11;103.2707
2024-12-10;100.0324
2024-12-09;99.3759
2024-12-06;99.4215
2024-12-05;103.3837
2024-12-04;104.2361
2024-12-03;106.1878
2024-12-02;107.1758
2024-11-29;107.7409
2024-11-28;109.5782
2024-11-27;108.0104
2024-11-26;105.0604
2024-11-25;103.7908
2024-11-22;102.5761
2024-11-21;100.6798
2024-11-20;100.2192
2024-11-19;100.0348
2024-11-18;99.943
2024-11-15;99.9971
2024-11-14;99.018
2024-11-13;98.3657
2024-11-12;97.9559
2024-11-11;97.955
2024-11-08;97.8335
2024-11-07;98.0726
2024-11-06;98.2236
2024-11-05;98.0562
2024-11-02;97.5499
2024-11-01;97.4402
2024-10-31;97.0226
2024-10-30;97.053
2024-10-29;97.3261
2024-10-28;97.23
2024-10-25;96.6657
2024-10-24;96.7402
2024-10-23;96.6379
2024-10-22;96.5918
2024-10-21;96.0924
2024-10-18;96.4172
2024-10-17;97.149
2024-10-16;97.2568
2024-10-15;97.0121
2024-10-14;96.1021
2024-10-11;96.0686
2024-10-10;97.2394
2024-10-09;96.9483
2024-10-08;96.1079
2024-10-07;96.0649
2024-10-04;94.87
2024-10-03;95.0262
2024-10-02;94.5054
2024-10-01;93.3581
2024-09-30;93.2221
2024-09-27;92.7126
2024-09-26;92.4074
2024-09-25;92.388
2024-09-24;92.8622
2024-09-23;92.92
2024-09-20;92.5848
2024-09-19;92.6962
2024-09-18;91.6712
2024-09-17;91.4292
2024-09-16;91.1423
2024-09-13;90.9345
2024-09-12;91.1096
2024-09-11;91.2653
2024-09-10;91.1127
2024-09-09;90.3853
2024-09-06;89.8225
2024-09-05;89.7044
2024-09-04;88.9288
2024-09-03;88.6118
2024-09-02;90.0013
2024-08-30;91.1868
2024-08-29;91.4548
2024-08-28;91.4449
2024-08-27;91.4807
2024-08-26;91.7745
2024-08-23;91.6012
2024-08-22;91.2881
2024-08-21;91.6862
2024-08-20;90.6944
2024-08-19;89.5428
2024-08-16;88.9062
2024-08-15;88.796
2024-08-14;90.0055
2024-08-13;92.6592
2024-08-12;89.9475
2024-08-09;86.5621
2024-08-08;86.5621
2024-08-07;85.9543
2024-08-06;85.1646
2024-08-05;84.9471
2024-08-02;85.7024
2024-08-01;85.7833
2024-07-31;86.1091
2024-07-30;86.33
2024-07-29;86.5554
2024-07-26;85.565
2024-07-25;85.41
2024-07-24;86.5502
2024-07-23;87.299
2024-07-22;87.7805
2024-07-19;88.0206
2024-07-18;87.8754
2024-07-17;88.0872
2024-07-16;88.2824
2024-07-15;87.8077
2024-07-12;87.7427
2024-07-11;87.988
2024-07-10;87.8551
2024-07-09;88.0031
2024-07-08;88.1688
2024-07-05;88.1348
2024-07-04;88.1205
2024-07-03;87.9506
2024-07-02;87.9921
2024-07-01;87.2972
2024-06-28;85.748
2024-06-27;84.964
2024-06-26;87.8064
2024-06-25;87.277
2024-06-24;87.373
2024-06-21;87.9595
2024-06-20;85.4176
2024-06-19;82.6282
2024-06-18;87.0354
2024-06-17;89.0499
2024-06-14;89.0658
2024-06-13;88.208
2024-06-11;89.2325
2024-06-10;88.6073
2024-06-07;89.0932
2024-06-06;88.8421
2024-06-05;88.7366
2024-06-04;88.7404
2024-06-03;89.03
2024-05-31;90.0331
2024-05-30;89.8403
2024-05-29;89.5119
2024-05-28;88.571
2024-05-27;88.5347
2024-05-24;89.4937
2024-05-23;90.0128
2024-05-22;90.1573
2024-05-21;90.0565
2024-05-20;90.734
2024-05-17;91.0305
2024-05-16;90.9193
2024-05-15;91.0753
2024-05-14;91.3432
2024-05-13;91.253
2024-05-10;92.2525
2024-05-08;91.9257
2024-05-07;91.1201
2024-05-06;91.2519
2024-05-03;91.5214
2024-05-02;92.0717
2024-04-30;93.0525
2024-04-29;93.057
2024-04-27;92.3508
2024-04-26;91.5706
2024-04-25;91.9321
2024-04-24;92.24
2024-04-23;93.1238
2024-04-22;93.3435
2024-04-19;93.1604
2024-04-18;93.8017
2024-04-17;94.267
2024-04-16;94.4125
2024-04-15;93.7353
2024-04-12;93.416
2024-04-11;93.2175
2024-04-10;93.4449
2024-04-09;92.846
2024-04-08;92.6224
2024-04-05;92.5349
2024-04-04;92.2408
2024-04-03;92.4219
2024-04-02;92.5154
2024-04-01;92.3052
2024-03-29;92.3396
2024-03-28;92.4956
2024-03-27;92.1154
2024-03-26;92.7255
2024-03-25;92.664
2024-03-22;92.6483
2024-03-21;92.0721
2024-03-20;92.3994
2024-03-19;92.5305
2024-03-18;91.9348
2024-03-15;92.8489
2024-03-14;91.6608
2024-03-13;91.5697
2024-03-12;91.7265
2024-03-11;90.6661
2024-03-07;90.6604
2024-03-06;90.5555
2024-03-05;90.608
2024-03-04;91.2988
2024-03-01;91.6915
2024-02-29;91.0093
2024-02-28;91.1848
2024-02-27;92.123
2024-02-26;92.2375
2024-02-22;92.9962
2024-02-21;92.5962
2024-02-20;92.3975
2024-02-19;92.4455
2024-02-16;92.2445
2024-02-15;92.3763
2024-02-14;91.436
2024-02-13;91.2908
2024-02-12;91.2938
2024-02-09;91.005
2024-02-08;90.7813
2024-02-07;91.2143
2024-02-06;91.1666
2024-02-05;90.4596
2024-02-02;90.9656
2024-02-01;90.4696
2024-01-31;89.953
2024-01-30;89.693
2024-01-29;88.9337
2024-01-26;89.7768
2024-01-25;88.8658
2024-01-24;88.6253
2024-01-23;88.5267
2024-01-22;87.8957
2024-01-19;88.2683
2024-01-18;89.0155
2024-01-17;88.8162
2024-01-16;87.7568
2024-01-15;87.6044
2024-01-12;88.3243
2024-01-11;88.5366
2024-01-10;89.3719
2024-01-09;89.8695
2024-01-08;91.31
2024-01-05;90.865
2024-01-04;91.2964
2024-01-03;91.8885
2023-12-29;90.1066
2023-12-28;89.5747
2023-12-27;91.3043
2023-12-26;91.7081
2023-12-25;91.7825
2023-12-22;92.1189
2023-12-21;92.0498
2023-12-20;90.9712
2023-12-19;90.4145
2023-12-18;90.1057
2023-12-15;90.1101
2023-12-14;89.8052
2023-12-13;89.8878
2023-12-12;90.0862
2023-12-11;90.9693
2023-12-08;92.0314
2023-12-07;92.109
2023-12-06;92.809
2023-12-05;92.4657
2023-12-04;91.0971
2023-12-01;90.3777
2023-11-30;89.4422
2023-11-29;88.6272
2023-11-28;89.2178
2023-11-27;88.7988
2023-11-24;88.6727
2023-11-23;88.3144
2023-11-22;88.3486
2023-11-21;87.8291
2023-11-20;88.4357
2023-11-17;90.0158
2023-11-16;88.967
2023-11-15;89.2955
2023-11-14;90.5998
2023-11-13;91.5742
2023-11-10;92.2232
2023-11-09;92.0437
2023-11-08;91.8554
2023-11-07;92.365
2023-11-06;92.3308
2023-11-03;92.4157
2023-11-02;93.2746
2023-11-01;92.8065
2023-10-31;93.3787
2023-10-30;92.8933
2023-10-27;94.1261
2023-10-26;93.6218
2023-10-25;93.2069
2023-10-24;93.3038
2023-10-23;94.2234
2023-10-20;95.2465
2023-10-19;97.0565
2023-10-18;97.3742
2023-10-17;97.7195
2023-10-16;97.3285
2023-10-13;97.248
2023-10-12;97.4345
2023-10-11;100.097
2023-10-10;100.4288
2023-10-09;99.3013
2023-10-06;100.3612
2023-10-05;100.4038
2023-10-04;99.5977
2023-10-03;99.6625
2023-10-02;99.4532
2023-09-29;97.9615
2023-09-28;96.8421
2023-09-27;96.7117
2023-09-26;96.2875
2023-09-25;96.2165
2023-09-22;96.0528
2023-09-21;96.2556
2023-09-20;96.4089
2023-09-19;96.8233
2023-09-18;96.4009
2023-09-15;96.4983
2023-09-14;97.1223
2023-09-13;96.2298
2023-09-12;95.0155
2023-09-11;95.1734
2023-09-08;97.795
2023-09-07;98.4496
2023-09-06;98.4417
2023-09-05;97.8475
2023-09-04;96.839
2023-09-01;96.4484
2023-08-31;96.0078
2023-08-30;96.1984
2023-08-29;95.44
2023-08-28;95.2449
2023-08-25;95.2859
2023-08-24;94.7133
2023-08-23;94.2893
2023-08-22;94.2557
2023-08-21;93.5788
2023-08-18;93.6075
2023-08-17;93.6558
2023-08-16;94.6813
2023-08-15;97.147
2023-08-14;97.7118
2023-08-11;99.3174
2023-08-10;97.4695
